Dosis;PTV;Recto;Bufeta
0;100;100;100
6;100;100;100
12;100;100;100
18;100;100;100
24;100;100;100
30;100;100;100
36;100;100;100
42;100;100;100
48;100;100;100
54;100;100;100
60;100;100;100
66;100;100;100
72;100;100;100
78;100;100;100
84;100;100;100
90;100;100;100
96;100;100;100
102;100;100;100
108;100;100;100
114;100;100;100
120;100;100;100
126;100;100;100
132;100;100;100
138;100;100;100
144;100;100;100
150;100;100;100
156;100;100;100
162;100;100;100
168;100;100;100
174;100;100;100
180;100;100;100
186;100;100;100
192;100;100;100
198;100;100;100
204;100;100;100
210;100;100;100
216;100;100;100
222;100;100;100
228;100;100;100
234;100;99,9861;100
240;100;99,9343;100
246;100;99,8434;100
252;100;99,7156;100
258;100;99,5484;100
264;100;99,3462;100
270;100;99,1119;100
276;100;98,85;100
282;100;98,5673;99,9996
288;100;98,262;99,9975
294;100;97,9387;99,9936
300;100;97,6029;99,9881
306;100;97,2581;99,981
312;100;96,9058;99,9729
318;100;96,5506;99,964
324;100;96,1965;99,9544
330;100;95,8469;99,9444
336;100;95,5028;99,9341
342;100;95,1704;99,9234
348;100;94,8485;99,9125
354;100;94,538;99,9009
360;100;94,2375;99,8886
366;100;93,9503;99,8756
372;100;93,6733;99,8621
378;100;93,4085;99,8481
384;100;93,1531;99,8337
390;100;92,9074;99,8189
396;100;92,6706;99,8037
402;100;92,4418;99,7878
408;100;92,221;99,7715
414;100;92,0081;99,7543
420;100;91,8028;99,7365
426;100;91,6059;99,7179
432;100;91,4153;99,6989
438;100;91,2317;99,6794
444;100;91,055;99,6593
450;100;90,8852;99,6389
456;100;90,7213;99,6178
462;100;90,5633;99,5965
468;100;90,4115;99,5741
474;100;90,2651;99,544
480;100;90,1231;99,498
486;100;89,9841;99,4386
492;100;89,8473;99,3697
498;100;89,7134;99,294
504;100;89,5821;99,2122
510;100;89,4536;99,1259
516;100;89,3274;99,0351
522;100;89,2032;98,9394
528;100;89,0812;98,84
534;100;88,9615;98,7368
540;100;88,844;98,6291
546;100;88,7283;98,5171
552;100;88,6143;98,4008
558;100;88,502;98,2801
564;100;88,3921;98,1548
